,date,cnt,number,bonus_number
360,(2009년 10월 31일 추첨),361,"
5
10
16
24
27
35
",33
361,(2009년 11월 07일 추첨),362,"
2
3
22
27
30
40
",29
362,(2009년 11월 14일 추첨),363,"
11
12
14
21
32
38
",6
363,(2009년 11월 21일 추첨),364,"
2
5
7
14
16
40
",4
364,(2009년 11월 28일 추첨),365,"
5
15
21
25
26
30
",31
365,(2009년 12월 05일 추첨),366,"
5
12
19
26
27
44
",38
366,(2009년 12월 12일 추첨),367,"
3
22
25
29
32
44
",19
367,(2009년 12월 19일 추첨),368,"
11
21
24
30
39
45
",26
368,(2009년 12월 26일 추첨),369,"
17
20
35
36
41
43
",21
369,(2010년 01월 02일 추첨),370,"
16
18
24
42
44
45
",17
370,(2010년 01월 09일 추첨),371,"
7
9
15
26
27
42
",18
371,(2010년 01월 16일 추첨),372,"
8
11
14
16
18
21
",13
372,(2010년 01월 23일 추첨),373,"
15
26
37
42
43
45
",9
373,(2010년 01월 30일 추첨),374,"
11
13
15
17
25
34
",26
374,(2010년 02월 06일 추첨),375,"
4
8
19
25
27
45
",7
375,(2010년 02월 13일 추첨),376,"
1
11
13
24
28
40
",7
376,(2010년 02월 20일 추첨),377,"
6
22
29
37
43
45
",23
377,(2010년 02월 27일 추첨),378,"
5
22
29
31
34
39
",43
378,(2010년 03월 06일 추첨),379,"
6
10
22
31
35
40
",19
379,(2010년 03월 13일 추첨),380,"
1
2
8
17
26
37
",27
380,(2010년 03월 20일 추첨),381,"
1
5
10
12
16
20
",11
381,(2010년 03월 27일 추첨),382,"
10
15
22
24
27
42
",19
382,(2010년 04월 03일 추첨),383,"
4
15
28
33
37
40
",25
383,(2010년 04월 10일 추첨),384,"
11
22
24
32
36
38
",7
384,(2010년 04월 17일 추첨),385,"
7
12
19
21
29
32
",9
385,(2010년 04월 24일 추첨),386,"
4
7
10
19
31
40
",26
386,(2010년 05월 01일 추첨),387,"
1
26
31
34
40
43
",20
